LAST SEEN   TYPE      REASON                            OBJECT                                             MESSAGE
2m          Warning   PolicyViolation                   deployment/e2e-dev-deployment-invalid              policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
24s         Warning   PolicyViolation                   job/e2e-dev-job-invalid                            policy require-owner-label/ fail: Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
117s        Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
117s        Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
117s        Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
117s        Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
117s        Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
117s        Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-app-label/ fail: Add metadata.labels.app.kubernetes.io/name with a meaningful application name.
117s        Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
88s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-app-label/ fail: Add metadata.labels.app.kubernetes.io/name with a meaningful application name.
88s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-owner-label/ fail: Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
87s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
87s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
87s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
87s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
87s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
86s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
86s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
62s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-owner-label/ fail: Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
61s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
61s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
61s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
61s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
61s         Warning   PolicyViolation                   cronjob/e2e-dev-cronjob-invalid                    policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
