]633;E;echo "=== PRODUCTION EVENTS ===";a57e926e-56e4-467c-a992-f7817797de3c]633;C=== PRODUCTION EVENTS ===
LAST SEEN   TYPE      REASON                            OBJECT                                            MESSAGE
3m3s        Normal    Scheduled                         pod/e2e-prod-pod-valid                            Successfully assigned ksp-production/e2e-prod-pod-valid to worker-node-2
2m48s       Normal    Scheduled                         pod/e2e-prod-daemonset-valid-ssq69                Successfully assigned ksp-production/e2e-prod-daemonset-valid-ssq69 to worker-node-2
2m45s       Normal    Scheduled                         pod/e2e-prod-daemonset-valid-p8646                Successfully assigned ksp-production/e2e-prod-daemonset-valid-p8646 to worker-node-1
2m56s       Normal    Scheduled                         pod/e2e-prod-deployment-valid-65bdd745cb-r2rg8    Successfully assigned ksp-production/e2e-prod-deployment-valid-65bdd745cb-r2rg8 to worker-node-1
2m52s       Normal    Scheduled                         pod/e2e-prod-statefulset-valid-0                  Successfully assigned ksp-production/e2e-prod-statefulset-valid-0 to worker-node-2
2m45s       Normal    Scheduled                         pod/e2e-prod-job-valid-fcnp6                      Successfully assigned ksp-production/e2e-prod-job-valid-fcnp6 to worker-node-2
3m          Normal    ScalingReplicaSet                 deployment/e2e-prod-deployment-valid              Scaled up replica set e2e-prod-deployment-valid-65bdd745cb from 0 to 1
2m57s       Normal    SuccessfulCreate                  replicaset/e2e-prod-deployment-valid-65bdd745cb   Created pod: e2e-prod-deployment-valid-65bdd745cb-r2rg8
2m53s       Normal    SuccessfulCreate                  statefulset/e2e-prod-statefulset-valid            Create Pod e2e-prod-statefulset-valid-0 in StatefulSet e2e-prod-statefulset-valid successful
2m49s       Normal    SuccessfulCreate                  daemonset/e2e-prod-daemonset-valid                Created pod: e2e-prod-daemonset-valid-ssq69
2m46s       Normal    SuccessfulCreate                  daemonset/e2e-prod-daemonset-valid                Created pod: e2e-prod-daemonset-valid-p8646
2m46s       Normal    SuccessfulCreate                  job/e2e-prod-job-valid                            Created pod: e2e-prod-job-valid-fcnp6
100s        Warning   Failed                            pod/e2e-prod-pod-valid                            Error: ImagePullBackOff
97s         Warning   Failed                            pod/e2e-prod-deployment-valid-65bdd745cb-r2rg8    Error: ImagePullBackOff
92s         Warning   Failed                            pod/e2e-prod-statefulset-valid-0                  Error: ImagePullBackOff
86s         Warning   Failed                            pod/e2e-prod-pod-valid                            Failed to pull image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f": failed to pull and unpack image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f": failed to resolve image: pull access denied, repository does not exist or may require authorization: authorization failed: no basic auth credentials
86s         Warning   Failed                            pod/e2e-prod-pod-valid                            Error: ErrImagePull
85s         Warning   Failed                            pod/e2e-prod-daemonset-valid-ssq69                Failed to pull image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f": failed to pull and unpack image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f": failed to resolve image: pull access denied, repository does not exist or may require authorization: authorization failed: no basic auth credentials
85s         Warning   Failed                            pod/e2e-prod-daemonset-valid-ssq69                Error: ErrImagePull
85s         Warning   Failed                            pod/e2e-prod-daemonset-valid-p8646                Error: ImagePullBackOff
85s         Normal    Pulling                           pod/e2e-prod-daemonset-valid-ssq69                Pulling image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f"
83s         Warning   Failed                            pod/e2e-prod-job-valid-fcnp6                      Error: ImagePullBackOff
82s         Normal    Pulling                           pod/e2e-prod-deployment-valid-65bdd745cb-r2rg8    Pulling image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f"
82s         Warning   Failed                            pod/e2e-prod-deployment-valid-65bdd745cb-r2rg8    Failed to pull image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f": failed to pull and unpack image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f": failed to resolve image: failed to do request: Head "https://harbor-public:30003/v2/ksp-test/signed/manifests/sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f": dial tcp: lookup harbor-public on 115.84.177.20:53: no such host
82s         Warning   Failed                            pod/e2e-prod-deployment-valid-65bdd745cb-r2rg8    Error: ErrImagePull
78s         Warning   Failed                            pod/e2e-prod-statefulset-valid-0                  Error: ErrImagePull
78s         Normal    Pulling                           pod/e2e-prod-statefulset-valid-0                  Pulling image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f"
