NAMESPACE            NAME                                   KIND          NAME                                                     PASS   FAIL   WARN   ERROR   SKIP   AGE
calico-system        069c2d96-d480-4b14-94f3-81c5b0a3078d   DaemonSet     calico-node                                              0      0      0      0       10     2m19s
calico-system        0accccbb-a307-4b19-bd55-1f030cac5697   Deployment    calico-typha                                             0      0      0      0       10     2m23s
calico-system        1466f4a3-3ecb-4f5e-8a15-5cca9adc546c   Pod           calico-node-qv545                                        0      0      0      0       8      2m39s
calico-system        2a81dee2-3d2e-4ce6-ab0d-6a8b25bc42cc   ReplicaSet    calico-kube-controllers-6d6788ff4c                       0      0      0      0       8      2m28s
calico-system        30d64d2a-def4-4b1a-8adb-2678315c27e8   Pod           calico-apiserver-587bcdb7d9-hskb6                        0      0      0      0       8      2m35s
calico-system        34ac475d-8387-4f53-b2bb-93ec59295dea   Pod           calico-kube-controllers-6d6788ff4c-kb9th                 0      0      0      0       8      2m33s
calico-system        419899b4-be27-432e-a69d-025a9ad5b957   Pod           calico-typha-7b99d88765-s94z9                            0      0      0      0       8      2m40s
calico-system        520e2dd8-2524-4fbd-98a8-626565022546   ReplicaSet    whisker-7d677966c9                                       0      0      0      0       8      2m25s
calico-system        541390ea-a074-4033-a35d-985aa1d9c1ac   Pod           calico-typha-7b99d88765-pcp5x                            0      0      0      0       8      2m32s
calico-system        65360cee-13b6-4165-b5d6-380bd0a6a130   Pod           calico-apiserver-587bcdb7d9-q28rt                        0      0      0      0       8      2m40s
calico-system        66933a51-1764-4101-9ec5-fad3e95de937   Pod           calico-node-jb755                                        0      0      0      0       8      2m38s
calico-system        787d8b07-1e3a-4aaa-93f6-82202f963acb   Deployment    calico-kube-controllers                                  0      0      0      0       10     2m23s
calico-system        962d5312-341a-42f4-a9f6-4ce5e8e243a4   Deployment    calico-apiserver                                         0      0      0      0       10     2m24s
calico-system        aaf38966-53aa-45d8-9eeb-d36c1bf540f8   ReplicaSet    goldmane-646fd87bdd                                      0      0      0      0       8      2m28s
calico-system        bb9db4b3-077a-4347-a482-06951dd6ed28   Deployment    whisker                                                  0      0      0      0       10     2m21s
calico-system        c195a908-4c51-4833-9d30-54b7a1143d5c   Pod           goldmane-646fd87bdd-l2tzm                                0      0      0      0       8      2m32s
calico-system        c2585385-94ac-4a41-8f2b-19f1bae2b22f   ReplicaSet    calico-typha-7b99d88765                                  0      0      0      0       8      2m27s
calico-system        c462d7fd-fd26-4962-a320-5c00bc00b478   ReplicaSet    calico-apiserver-587bcdb7d9                              0      0      0      0       8      2m25s
calico-system        cc85f596-5ad7-45e3-82d2-6fe8c348eec9   Pod           calico-node-vtr9p                                        0      0      0      0       8      2m35s
calico-system        daf1d2eb-a520-4e91-907b-7cfa8ffcf9e2   ReplicaSet    whisker-597b5fd5f5                                       0      0      0      0       8      2m30s
calico-system        dc480dbe-5da7-412e-be15-dddf3aa23b69   Deployment    goldmane                                                 0      0      0      0       10     2m21s
calico-system        e5190b04-0c7a-4843-9bc5-9ece0431deb4   ReplicaSet    whisker-7c5695b976                                       0      0      0      0       8      2m24s
calico-system        eddbd0a4-5ea8-4522-81b8-e436046780cc   Pod           whisker-7d677966c9-846t4                                 0      0      0      0       8      2m33s
harbor               00f36ba4-ab88-436c-844f-c81390c1a8cc   ReplicaSet    harbor-portal-677b5d5455                                 3      5      0      0       0      2m27s
harbor               028ba585-2409-4fe0-b2ea-0362e61ac16e   Pod           harbor-nginx-688cf77c5b-8ml75                            3      5      0      0       0      2m40s
harbor               0a5f7b16-b61d-42f4-a477-980ad92d8cf5   ReplicaSet    harbor-jobservice-684494d9bb                             3      5      0      0       0      2m28s
harbor               120db3e9-f912-4d05-a9b0-141d4c022251   Pod           harbor-portal-677b5d5455-zsr4z                           3      5      0      0       0      2m38s
harbor               2c7c7b0a-ff35-4486-af63-fc2d5b55678c   Deployment    harbor-nginx                                             4      6      0      0       0      2m23s
harbor               39946312-a434-48e9-a4c4-705a97a16efb   Deployment    harbor-core                                              4      6      0      0       0      2m23s
harbor               42c8be02-72d5-46ca-a957-054249b1fc92   Pod           harbor-database-0                                        3      5      0      0       0      2m40s
harbor               591bc2a1-cf5e-4589-b173-4cd0dee059d5   Deployment    harbor-jobservice                                        4      6      0      0       0      2m21s
harbor               5bbfb3c3-04fb-4bfd-8e9c-e78a7e4ccfff   Pod           harbor-redis-0                                           3      5      0      0       0      2m38s
harbor               5ef324e4-435b-49e3-934c-b4b6812e90b3   Pod           harbor-jobservice-684494d9bb-stzqr                       3      5      0      0       0      2m38s
harbor               83dcaac7-8435-4743-bc71-754027790baa   Deployment    harbor-registry                                          4      6      0      0       0      2m23s
harbor               867d7163-870c-4101-a460-3bf4543145af   ReplicaSet    harbor-core-77576b4656                                   3      5      0      0       0      2m28s
harbor               ad19ff2e-e72b-4b80-884d-aea8e2519c5d   Deployment    harbor-portal                                            4      6      0      0       0      2m24s
harbor               b3a7fde6-423b-42d8-ac71-8984380c7c53   StatefulSet   harbor-database                                          4      6      0      0       0      2m20s
harbor               bae1bb7d-a403-4a6f-adc9-068fbf1d4809   ReplicaSet    harbor-nginx-688cf77c5b                                  3      5      0      0       0      2m28s
harbor               bdb41b7e-04eb-4e7d-8dcc-8ac369537fc3   Pod           harbor-registry-8464c694b4-8fflh                         3      5      0      0       0      2m37s
harbor               be1ec6e2-c8a4-45a6-9f58-dec6c2a02f05   StatefulSet   harbor-redis                                             4      6      0      0       0      2m19s
harbor               c64f6825-0628-4e48-9f79-b1044829df88   Pod           harbor-core-77576b4656-k2h7q                             3      5      0      0       0      2m35s
harbor               d514a5fa-fc20-4a94-99c1-b32ae3b13c25   ReplicaSet    harbor-registry-8464c694b4                               3      5      0      0       0      2m25s
ksp-staging          260bfe92-73cb-4589-ae35-330f84e69146   Pod           e2e-stg-deployment-valid-756d5967df-v464z                9      0      0      0       0      67s
ksp-staging          338f4e12-5889-4108-8a78-f2b43ab5320b   CronJob       e2e-stg-cronjob-valid                                    5      0      0      0       0      54s
ksp-staging          38d027a6-dad3-49e2-a6f1-b7bbdb7f3461   Pod           e2e-stg-pod-valid                                        9      0      0      0       0      75s
ksp-staging          6a808fbe-e7d1-4022-9027-2172922723ba   Pod           e2e-stg-daemonset-valid-9cc5w                            4      0      0      0       0      54s
ksp-staging          8f44556d-11fa-40b2-8ef3-843213ce86f4   Job           e2e-stg-job-valid                                        11     0      0      0       0      58s
ksp-staging          8f52bdb1-d81f-4913-812b-16713624e4d3   StatefulSet   e2e-stg-statefulset-valid                                10     0      0      1       0      65s
ksp-staging          95738937-206c-403c-bec7-61d6e5578d9f   DaemonSet     e2e-stg-daemonset-valid                                  11     0      0      0       0      62s
ksp-staging          a3e82738-289c-47c3-b10c-dc8253b95945   Deployment    e2e-stg-deployment-valid                                 11     0      0      0       0      71s
ksp-staging          e395e538-6c0b-4e2a-acd3-b4b0c02e5e29   Pod           e2e-stg-job-valid-xfgq6                                  4      0      0      0       0      54s
ksp-staging          e670dcd8-26a8-456d-b880-4585a784b5a9   Pod           e2e-stg-daemonset-valid-zplbd                            9      0      0      0       0      58s
ksp-staging          f4756e37-53c8-4a74-b867-04a1871a4ede   Pod           e2e-stg-statefulset-valid-0                              9      0      0      0       0      62s
ksp-staging          f5c6d0db-2aa1-4c5b-a26b-5393adbf953b   ReplicaSet    e2e-stg-deployment-valid-756d5967df                      8      0      0      0       0      61s
kube-system          00f0100f-cb72-47f0-856e-02d70c07d698   Pod           etcd-control-plane                                       0      0      0      0       8      2m40s
kube-system          0238bcd7-2bf5-4dbb-bf51-ba6f5b468ec9   Pod           coredns-7fb7fff89d-6dc7z                                 0      0      0      0       8      2m38s
kube-system          07783998-0a9e-47be-815f-03a9b39c3ff0   DaemonSet     kube-proxy                                               0      0      0      0       10     2m18s
kube-system          0d078cd6-7bd5-4944-83d8-55fbd0347f7d   ReplicaSet    coredns-7d764666f9                                       0      0      0      0       8      2m28s
kube-system          13ae4df5-da31-48d1-b678-6606667b1426   Pod           kube-scheduler-control-plane                             0      0      0      0       8      2m39s
kube-system          2a7cf92b-2a8a-4538-b89a-3147c664ec04   ReplicaSet    coredns-878b847b7                                        0      0      0      0       8      2m28s
kube-system          5f012db4-215c-44a3-8431-78637c934f99   Pod           kube-proxy-h92qn                                         0      0      0      0       8      2m36s
kube-system          6212ae1f-30e3-45c3-97a4-8ed3804b79a3   ReplicaSet    coredns-7fb7fff89d                                       0      0      0      0       8      2m27s
kube-system          670fb869-8f94-4451-82cd-b37fd453b010   Pod           kube-proxy-9s6l5                                         0      0      0      0       8      2m40s
kube-system          6deae0af-4347-4931-b402-70c9b6dcb449   Deployment    coredns                                                  0      0      0      0       10     2m20s
kube-system          76e58152-7ef4-454d-a4fe-1c0ea89fdf6b   Pod           kube-apiserver-control-plane                             0      0      0      0       8      2m39s
kube-system          c4b98f24-1357-47ed-83cb-704fe8427cac   Pod           coredns-7fb7fff89d-xjvkx                                 0      0      0      0       8      2m38s
kube-system          e254e7dd-bea4-4cc8-9fbf-8176c173dc2d   Pod           kube-controller-manager-control-plane                    0      0      0      0       8      2m33s
kube-system          e877326b-9176-4db1-9abf-99bc6accf093   Pod           kube-proxy-nrc2h                                         0      0      0      0       8      2m32s
kyverno              05431da6-d93b-4a2c-85c8-b61b9a61fbed   Pod           kyverno-migrate-resources-tvp42                          0      0      0      0       8      2m31s
kyverno              06a317ac-b895-40ed-b25e-cc13d9b83ba7   Job           kyverno-migrate-resources                                0      0      0      0       10     2m18s
kyverno              06d38b65-c472-4d36-831f-59e6960a9eb6   Pod           harbor-debug                                             0      0      0      0       8      2m38s
kyverno              090ca3d6-f8ce-42e4-9154-db4cf63f0162   Pod           kyverno-reports-controller-849f95d74f-4zgrr              0      0      0      0       8      2m31s
kyverno              0abe11b7-b465-4214-8e3c-38de448886a1   Pod           kyverno-background-controller-54c8547bdc-6qlqz           0      0      0      0       8      2m32s
kyverno              0f69d519-532d-4f1b-9743-ae2a9bc11128   Pod           net-debug                                                0      0      0      0       8      2m40s
kyverno              1ba0d887-90a9-4d84-9c9e-2196b207bba9   Pod           kyverno-cleanup-controller-86f44b75bc-7bx7w              0      0      0      0       8      2m33s
kyverno              26d4f4dc-c6f2-4d61-b4db-bf194f4598bd   ReplicaSet    kyverno-background-controller-54c8547bdc                 0      0      0      0       8      2m30s
kyverno              2c0c5bf2-4758-444d-8cb9-eddd771cf71c   ReplicaSet    kyverno-admission-controller-5c96d858f                   0      0      0      0       8      2m25s
kyverno              518bf9e0-92a7-44cc-ac32-d9a7e2d84eac   Pod           kyverno-admission-controller-65d97f9d85-dg9vw            0      0      0      0       8      2m34s
kyverno              572f0762-b81f-4902-9523-da0e22dc3d47   Deployment    kyverno-background-controller                            0      0      0      0       10     2m20s
kyverno              5909d650-4e52-4986-90e7-0597331799ed   ReplicaSet    kyverno-cleanup-controller-86f44b75bc                    0      0      0      0       8      2m30s
