NAME                                             READY   STATUS      RESTARTS       AGE     IP               NODE            NOMINATED NODE   READINESS GATES
dns-debug                                        0/1     Completed   0              3d8h    10.244.212.93    worker-node-1   <none>           <none>
harbor-debug                                     0/1     Completed   0              3d7h    10.244.212.102   worker-node-1   <none>           <none>
kyverno-admission-controller-65d97f9d85-hlqpw    1/1     Running     0              4m52s   10.244.19.184    worker-node-2   <none>           <none>
kyverno-admission-controller-65d97f9d85-kpczd    1/1     Running     6 (27h ago)    3d6h    10.244.212.103   worker-node-1   <none>           <none>
kyverno-admission-controller-65d97f9d85-mz6ct    1/1     Running     2 (2d1h ago)   3d6h    10.244.212.104   worker-node-1   <none>           <none>
kyverno-admission-controller-65d97f9d85-wxxnh    0/1     Init:0/1    0              4s      10.244.19.185    worker-node-2   <none>           <none>
kyverno-background-controller-54c8547bdc-6qlqz   1/1     Running     37 (27h ago)   22d     10.244.212.67    worker-node-1   <none>           <none>
kyverno-background-controller-54c8547bdc-pjj5l   1/1     Running     30 (27h ago)   22d     10.244.19.131    worker-node-2   <none>           <none>
kyverno-cleanup-controller-86f44b75bc-7bx7w      1/1     Running     38 (27h ago)   22d     10.244.19.132    worker-node-2   <none>           <none>
kyverno-cleanup-controller-86f44b75bc-tn8sc      1/1     Running     45 (27h ago)   22d     10.244.212.65    worker-node-1   <none>           <none>
kyverno-migrate-resources-tvp42                  0/1     Completed   0              3d7h    10.244.19.158    worker-node-2   <none>           <none>
kyverno-reports-controller-849f95d74f-4zgrr      1/1     Running     36 (27h ago)   22d     10.244.212.66    worker-node-1   <none>           <none>
kyverno-reports-controller-849f95d74f-5krgq      1/1     Running     43 (27h ago)   22d     10.244.19.129    worker-node-2   <none>           <none>
net-debug                                        0/1     Completed   0              3d7h    10.244.19.161    worker-node-2   <none>           <none>
