LAST SEEN   TYPE     REASON              OBJECT                                               MESSAGE
30m         Normal   Scheduled           pod/kyverno-admission-controller-65d97f9d85-hlqpw    Successfully assigned kyverno/kyverno-admission-controller-65d97f9d85-hlqpw to worker-node-2
5m42s       Normal   Scheduled           pod/kyverno-admission-controller-65d97f9d85-78bk9    Successfully assigned kyverno/kyverno-admission-controller-65d97f9d85-78bk9 to worker-node-1
5m42s       Normal   Scheduled           pod/kyverno-admission-controller-65d97f9d85-qk22g    Successfully assigned kyverno/kyverno-admission-controller-65d97f9d85-qk22g to worker-node-2
25m         Normal   Scheduled           pod/kyverno-admission-controller-65d97f9d85-wxxnh    Successfully assigned kyverno/kyverno-admission-controller-65d97f9d85-wxxnh to worker-node-2
5m42s       Normal   Scheduled           pod/kyverno-admission-controller-65d97f9d85-78m4b    Successfully assigned kyverno/kyverno-admission-controller-65d97f9d85-78m4b to worker-node-2
30m         Normal   Killing             pod/kyverno-admission-controller-65d97f9d85-dg9vw    Stopping container kyverno
30m         Normal   SuccessfulCreate    replicaset/kyverno-admission-controller-65d97f9d85   Created pod: kyverno-admission-controller-65d97f9d85-hlqpw
30m         Normal   Pulled              pod/kyverno-admission-controller-65d97f9d85-hlqpw    Container image "reg.kyverno.io/kyverno/kyvernopre:v1.18.2" already present on machine and can be accessed by the pod
30m         Normal   Created             pod/kyverno-admission-controller-65d97f9d85-hlqpw    Container created
30m         Normal   Started             pod/kyverno-admission-controller-65d97f9d85-hlqpw    Container started
30m         Normal   Created             pod/kyverno-admission-controller-65d97f9d85-hlqpw    Container created
30m         Normal   Started             pod/kyverno-admission-controller-65d97f9d85-hlqpw    Container started
30m         Normal   Pulled              pod/kyverno-admission-controller-65d97f9d85-hlqpw    Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
25m         Normal   Killing             pod/kyverno-admission-controller-65d97f9d85-fzcdt    Stopping container kyverno
25m         Normal   Pulled              pod/kyverno-admission-controller-65d97f9d85-wxxnh    Container image "reg.kyverno.io/kyverno/kyvernopre:v1.18.2" already present on machine and can be accessed by the pod
25m         Normal   Created             pod/kyverno-admission-controller-65d97f9d85-wxxnh    Container created
25m         Normal   SuccessfulCreate    replicaset/kyverno-admission-controller-65d97f9d85   Created pod: kyverno-admission-controller-65d97f9d85-wxxnh
25m         Normal   Started             pod/kyverno-admission-controller-65d97f9d85-wxxnh    Container started
25m         Normal   Pulled              pod/kyverno-admission-controller-65d97f9d85-wxxnh    Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
25m         Normal   Created             pod/kyverno-admission-controller-65d97f9d85-wxxnh    Container created
25m         Normal   Started             pod/kyverno-admission-controller-65d97f9d85-wxxnh    Container started
7m14s       Normal   Killing             pod/kyverno-admission-controller-65d97f9d85-hlqpw    Stopping container kyverno
7m14s       Normal   SuccessfulDelete    replicaset/kyverno-admission-controller-65d97f9d85   Deleted pod: kyverno-admission-controller-65d97f9d85-wxxnh
7m14s       Normal   Killing             pod/kyverno-admission-controller-65d97f9d85-wxxnh    Stopping container kyverno
7m14s       Normal   Killing             pod/kyverno-admission-controller-65d97f9d85-kpczd    Stopping container kyverno
7m14s       Normal   ScalingReplicaSet   deployment/kyverno-admission-controller              Scaled down replica set kyverno-admission-controller-65d97f9d85 from 4 to 1
7m14s       Normal   SuccessfulDelete    replicaset/kyverno-admission-controller-65d97f9d85   Deleted pod: kyverno-admission-controller-65d97f9d85-hlqpw
7m14s       Normal   SuccessfulDelete    replicaset/kyverno-admission-controller-65d97f9d85   Deleted pod: kyverno-admission-controller-65d97f9d85-kpczd
5m43s       Normal   SuccessfulCreate    replicaset/kyverno-admission-controller-65d97f9d85   Created pod: kyverno-admission-controller-65d97f9d85-78bk9
5m43s       Normal   SuccessfulCreate    replicaset/kyverno-admission-controller-65d97f9d85   Created pod: kyverno-admission-controller-65d97f9d85-78m4b
5m43s       Normal   SuccessfulCreate    replicaset/kyverno-admission-controller-65d97f9d85   Created pod: kyverno-admission-controller-65d97f9d85-qk22g
5m43s       Normal   Pulled              pod/kyverno-admission-controller-65d97f9d85-qk22g    Container image "reg.kyverno.io/kyverno/kyvernopre:v1.18.2" already present on machine and can be accessed by the pod
5m43s       Normal   ScalingReplicaSet   deployment/kyverno-admission-controller              Scaled up replica set kyverno-admission-controller-65d97f9d85 from 1 to 4
5m42s       Normal   Pulled              pod/kyverno-admission-controller-65d97f9d85-78bk9    Container image "reg.kyverno.io/kyverno/kyvernopre:v1.18.2" already present on machine and can be accessed by the pod
5m42s       Normal   Started             pod/kyverno-admission-controller-65d97f9d85-78m4b    Container started
5m42s       Normal   Created             pod/kyverno-admission-controller-65d97f9d85-78m4b    Container created
5m42s       Normal   Pulled              pod/kyverno-admission-controller-65d97f9d85-78m4b    Container image "reg.kyverno.io/kyverno/kyvernopre:v1.18.2" already present on machine and can be accessed by the pod
5m42s       Normal   Started             pod/kyverno-admission-controller-65d97f9d85-qk22g    Container started
5m42s       Normal   Created             pod/kyverno-admission-controller-65d97f9d85-qk22g    Container created
5m42s       Normal   Started             pod/kyverno-admission-controller-65d97f9d85-78bk9    Container started
5m42s       Normal   Created             pod/kyverno-admission-controller-65d97f9d85-78bk9    Container created
5m28s       Normal   Pulled              pod/kyverno-admission-controller-65d97f9d85-qk22g    Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
5m28s       Normal   Started             pod/kyverno-admission-controller-65d97f9d85-qk22g    Container started
5m28s       Normal   Created             pod/kyverno-admission-controller-65d97f9d85-qk22g    Container created
5m12s       Normal   Started             pod/kyverno-admission-controller-65d97f9d85-78m4b    Container started
5m12s       Normal   Pulled              pod/kyverno-admission-controller-65d97f9d85-78m4b    Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
5m12s       Normal   Created             pod/kyverno-admission-controller-65d97f9d85-78m4b    Container created
4m57s       Normal   Pulled              pod/kyverno-admission-controller-65d97f9d85-78bk9    Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
4m57s       Normal   Created             pod/kyverno-admission-controller-65d97f9d85-78bk9    Container created
4m57s       Normal   Started             pod/kyverno-admission-controller-65d97f9d85-78bk9    Container started
