LAST SEEN   TYPE      REASON              OBJECT                                               MESSAGE
2m9s        Normal    Scheduled           pod/kyverno-admission-controller-54d58cc467-r8lnt    Successfully assigned kyverno/kyverno-admission-controller-54d58cc467-r8lnt to worker-node-1
3m14s       Normal    Scheduled           pod/kyverno-admission-controller-6fdd8c56c9-7s8f5    Successfully assigned kyverno/kyverno-admission-controller-6fdd8c56c9-7s8f5 to worker-node-1
17m         Normal    Scheduled           pod/ft-adm-004-crash                                 Successfully assigned kyverno/ft-adm-004-crash to worker-node-2
4m38s       Normal    Scheduled           pod/kyverno-admission-controller-6fdd8c56c9-mkxcc    Successfully assigned kyverno/kyverno-admission-controller-6fdd8c56c9-mkxcc to worker-node-2
2m33s       Normal    Scheduled           pod/kyverno-admission-controller-54d58cc467-z24lv    Successfully assigned kyverno/kyverno-admission-controller-54d58cc467-z24lv to worker-node-1
3m3s        Normal    Scheduled           pod/kyverno-admission-controller-54d58cc467-mk9nz    Successfully assigned kyverno/kyverno-admission-controller-54d58cc467-mk9nz to worker-node-2
108s        Normal    Scheduled           pod/kyverno-admission-controller-54d58cc467-w8n68    Successfully assigned kyverno/kyverno-admission-controller-54d58cc467-w8n68 to worker-node-2
14m         Normal    Scheduled           pod/kyverno-admission-controller-65d97f9d85-xsx6r    Successfully assigned kyverno/kyverno-admission-controller-65d97f9d85-xsx6r to worker-node-2
3m39s       Normal    Scheduled           pod/kyverno-admission-controller-6fdd8c56c9-4f4l2    Successfully assigned kyverno/kyverno-admission-controller-6fdd8c56c9-4f4l2 to worker-node-2
4m9s        Normal    Scheduled           pod/kyverno-admission-controller-6fdd8c56c9-425ds    Successfully assigned kyverno/kyverno-admission-controller-6fdd8c56c9-425ds to worker-node-1
17m         Normal    Killing             pod/kyverno-admission-controller-65d97f9d85-78nfc    Stopping container kyverno
17m         Warning   Unhealthy           pod/kyverno-admission-controller-65d97f9d85-78nfc    Readiness probe failed: Get "https://10.244.19.190:9443/health/readiness": dial tcp 10.244.19.190:9443: connect: invalid argument
17m         Normal    SuccessfulDelete    replicaset/kyverno-admission-controller-65d97f9d85   Deleted pod: kyverno-admission-controller-65d97f9d85-78nfc
15m         Normal    Pulled              pod/ft-adm-004-crash                                 Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
15m         Normal    Created             pod/ft-adm-004-crash                                 Container created
15m         Warning   Failed              pod/ft-adm-004-crash                                 Error: failed to create containerd task: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: error during container init: exec: "/bin/sh": stat /bin/sh: no such file or directory
15m         Warning   BackOff             pod/ft-adm-004-crash                                 Back-off restarting failed container simulated-admission-controller in pod ft-adm-004-crash_kyverno(ff6c7a2b-e26d-479b-87bb-da7d177d041b)
14m         Normal    ScalingReplicaSet   deployment/kyverno-admission-controller              Scaled up replica set kyverno-admission-controller-65d97f9d85 from 3 to 4
