NAMESPACE            LAST SEEN   TYPE      REASON               OBJECT                                                             MESSAGE
default              6m6s        Warning   PolicyViolation      validatingpolicy/require-owner-label                               Deployment harbor/harbor-nginx: fail; Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
default              26m         Warning   PolicyViolation      validatingpolicy/require-cpu-request                               Deployment monitoring/monitoring-kube-state-metrics: fail; Set resources.requests.cpu on every regular and init container.
monitoring           11s         Warning   PolicyViolation      statefulset/prometheus-monitoring-kube-prometheus-prometheus       policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
monitoring           12s         Warning   PolicyViolation      statefulset/prometheus-monitoring-kube-prometheus-prometheus       policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
monitoring           12s         Warning   PolicyViolation      statefulset/prometheus-monitoring-kube-prometheus-prometheus       policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
monitoring           12s         Warning   PolicyViolation      statefulset/prometheus-monitoring-kube-prometheus-prometheus       policy require-owner-label/ fail: Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
monitoring           13s         Warning   PolicyViolation      statefulset/prometheus-monitoring-kube-prometheus-prometheus       policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
monitoring           13s         Warning   PolicyViolation      statefulset/prometheus-monitoring-kube-prometheus-prometheus       policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
default              4m8s        Warning   PolicyViolation      validatingpolicy/disallow-latest-tag                               Pod ksp-production/e2e-prod-pod-invalid: fail (blocked); Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
default              2m2s        Warning   PolicyViolation      validatingpolicy/disallow-latest-tag                               Pod ksp-production/e2e-prod-pod-invalid: fail (blocked); Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
default              10s         Warning   PolicyViolation      validatingpolicy/disallow-latest-tag                               Pod ksp-production/e2e-prod-pod-invalid: fail (blocked); Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
default              60m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              60m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              59m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              59m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              58m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              58m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              57m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              57m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              57m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              56m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              56m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              55m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              55m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              54m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              54m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              53m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              53m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              52m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              52m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              52m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              51m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              51m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              50m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              50m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              49m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              49m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              48m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              47m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              47m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              47m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              46m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              46m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              45m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              45m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              44m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              44m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
